,iter,error_autovalor,error_n2_autovectores
count,21.0,21.0,21.0
mean,100.0,0.47376630496525546,0.020135041748385228
std,62.048368229954285,2.0647419252656385,0.08004486278619265
min,0.0,1.4210854715202004e-14,0.0
25%,50.0,7.460698725481053e-14,6.8833827526759706e-15
50%,100.0,2.110692065571129e-09,2.638333995719222e-10
75%,150.0,7.977786892610084e-05,9.959105905954502e-06
max,200.0,9.476268185428394,0.366236676447278
