,iter,error_autovalor,error_n2_autovectores
count,50.0,50.0,50.0
mean,49.0,33.79642509309443,1.6465217854800007
std,29.154759474226502,3.9742449851624757,0.01605575697047401
min,0.0,14.887664468771824,1.5616801187109093
25%,24.5,34.40167556741612,1.649100777980793
50%,49.0,35.40995092681162,1.6526263561693502
75%,73.5,35.49424092187277,1.6529190470915185
max,98.0,35.501079890486125,1.652942780646907
