iter,error_autovalor,error_n2_autovectores
0,0.8832059097156773,0.4997436998559971
1000,0.7136807981925379,0.46267751368136945
2000,0.7136807981914952,0.4626775136810507
3000,0.7136807981904694,0.4626775136807328
4000,0.7136807981894355,0.46267751368041454
5000,0.7136807981884106,0.46267751368009696
6000,0.7136807981873909,0.4626775136797792
7000,0.7136807981863669,0.4626775136794607
8000,0.7136807981853277,0.46267751367914184
9000,0.713680798184293,0.4626775136788256
10000,0.71368079818326,0.462677513678506
11000,0.7136807981822271,0.46267751367818816
12000,0.7136807981811906,0.4626775136778687
13000,0.7136807981801594,0.462677513677551
14000,0.7136807981791282,0.4626775136772318
15000,0.7136807981781006,0.4626775136769134
16000,0.7136807981770641,0.4626775136765946
17000,0.7136807981760267,0.4626775136762766
18000,0.7136807981750009,0.46267751367595855
19000,0.7136807981739723,0.46267751367564053
20000,0.713680798172942,0.46267751367532184
