,N,max_iter,prom_iter
count,11.0,11.0,11.0
mean,52.0,429.27272727272725,429.27272727272725
std,33.166247903554,365.4961260831887,365.4961260831887
min,2.0,16.0,16.0
25%,27.0,121.0,121.0
50%,52.0,394.0,394.0
75%,77.0,664.0,664.0
max,102.0,1080.0,1080.0
