N,max_iter,prom_iter
2,16.0,16.0
12,116.0,116.0
22,42.0,42.0
32,126.0,126.0
42,394.0,394.0
52,260.0,260.0
62,700.0,700.0
72,628.0,628.0
82,938.0,938.0
92,1080.0,1080.0
102,422.0,422.0
