,iter,error_autovalor
count,101.0,101.0
mean,50.0,0.6829554838064198
std,29.300170647967224,2.6789505533873728
min,0.0,1.0737544187122694e-09
25%,25.0,2.0845055104246057e-07
50%,50.0,4.085427245925644e-05
75%,75.0,0.0097322066986578
max,100.0,18.69415561893476
