autovalor,error_inf_avect,error_1_avect
18.1366959730044,7.466249840604178e-15,9.884454366115847e-14
17.05517119099513,6.494804694057166e-15,9.82963710427498e-14
13.306122312766785,5.8772431366094224e-15,8.881090307610862e-14
10.921067530133556,4.090477956353311e-15,5.776629175002768e-14
9.777240952801478,3.9968028886505635e-15,6.817723469110248e-14
6.996197033107124,6.689093723366568e-15,4.505597284154561e-14
6.51554462803159,4.218847493575595e-15,2.88935542158697e-14
6.331592223669628,3.735727005516054e-15,3.188226592454324e-14
5.618033988749895,4.440892098500626e-16,1.7763568394002505e-15
5.378595077669425,1.9984014443252818e-15,2.3727547704410767e-14
4.580792668029518,7.882583474838611e-15,3.310893226249334e-14
4.480007671029979,2.671474153004283e-15,3.816738591844171e-14
4.275876820141814,2.192690473634684e-15,2.3137416461926907e-14
3.472187399726445,5.9674487573602164e-15,2.8168439802911394e-14
3.381966011250104,8.881784197001252e-16,1.7763568394002505e-15
3.376154092871073,3.073929999430902e-15,2.903927098785175e-14
3.242067477421743,4.711508960753008e-15,3.555489236362064e-14
3.013962966251618,6.484396353201305e-15,3.5017480451773886e-14
2.749157175276659,4.218847493575595e-15,2.5240226575462543e-14
2.487091734464515,4.4200754167889045e-15,3.4279003247039697e-14
2.0,1.0269562977782698e-15,2.0539125955565396e-15
2.0,0.0,0.0
2.0,9.992007221626409e-16,2.220446049250313e-15
2.0,5.551115123125783e-17,1.1102230246251565e-16
2.0,9.992007221626409e-16,2.1094237467877974e-15
1.955050447337369,5.80785419757035e-15,3.640794263293223e-14
1.826055209825464,1.026262408387879e-14,5.578176809351021e-14
1.761898621144033,1.0585282650410477e-14,3.9754224218091494e-14
1.599283075429581,4.099151573733195e-15,3.1607529094035414e-14
1.259404110121709,6.022959908591474e-15,3.360853262357466e-14
1.125010718244667,1.1171619185290638e-14,5.574707362399067e-14
0.909247663803314,9.079542673262608e-15,6.162171467538613e-14
0.468525226701391,1.9345636204093353e-14,8.535446655022483e-14
nan,nan,nan
