,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,49.5,7.752481429550118e-08,4.321732096345082e-08,2.6837897015852267e-10,2.353787920128525e-10,-908.06,915.28
std,29.011491975882016,3.631823536250716e-07,2.1734054861046262e-07,1.7068692358349351e-09,1.4848488311869701e-09,96.3899718158827,69.09868217837351
min,0.0,4.304778755681582e-12,4.610090087453499e-12,1.1795009413617665e-12,2.273736754432321e-13,-1000.0,661.0000000000005
25%,24.75,8.046896482483135e-12,6.854419809521062e-12,1.8332002582610585e-12,3.410605131648481e-13,-976.5000000000002,882.9999999999999
50%,49.5,1.6723511464533658e-11,9.67623550729435e-12,2.1300738950458253e-12,3.410605131648481e-13,-942.9999999999999,930.9999999999997
75%,74.25,5.2257246706960414e-11,1.892200285347201e-11,2.4726887204451486e-12,4.547473508864641e-13,-856.0000000000003,965.5
max,99.0,2.770640240790101e-06,1.8063439169407455e-06,1.4490431965441532e-08,1.1910287867067382e-08,-556.0000000000002,994.9999999999998
