,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,49.5,1.0183438234000001e-07,1.0183438234000001e-07,0.0,0.0,-902.36,894.8
std,29.011491975882016,6.183194678745133e-07,6.183194678745133e-07,0.0,0.0,88.42431221049439,103.32082035675054
min,0.0,0.0,0.0,0.0,0.0,-1000.0,449.0
25%,24.75,0.0,0.0,0.0,0.0,-970.0,850.5
50%,49.5,0.0,0.0,0.0,0.0,-929.0,933.0
75%,74.25,0.0,0.0,0.0,0.0,-861.5,969.5
max,99.0,5.194128709e-06,5.194128709e-06,0.0,0.0,-550.0,999.0
