,test,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
count,300.0,300.0,300.0,300.0,300.0,300.0,300.0
mean,49.5,0.002488868329599846,0.00039734413024721194,3.490778249807628e-07,2.0697720226318476e-07,3911.5922230435162,7649582.982805336
std,28.914300774835606,0.03403934448715731,0.005849651171776359,5.051276533409903e-06,3.3095056929869595e-06,13155.819573577064,10921834.069022829
min,0.0,0.0,0.0,0.0,0.0,-1000.0,449.0
25%,24.75,0.0,0.0,0.0,0.0,-954.0,896.4999999999998
50%,49.5,1.741562449808498e-11,1.0433542918519834e-11,2.1300738950458253e-12,3.410605131648481e-13,-858.9999999999998,968.9999999999999
75%,74.25,4.240635494312528e-06,7.861134747599863e-07,1.393337036859066e-07,3.3527612686157227e-08,1049.332095030941,21289126.149763532
max,99.0,0.5812401445876283,0.1008212307797222,8.753557176532922e-05,5.733664147555828e-05,111836.43929841422,30578279.46051574
