,iter,error_autovalor,error_n2_autovectores
count,100.0,100.0,100.0
mean,49.5,0.32063776406990435,0.6213564321917205
std,29.011491975882016,0.7224182654165558,0.22795823432187062
min,0.0,0.0002280897398527,0.4586167876647558
25%,24.75,0.0028844192702849503,0.46120323419781895
50%,49.5,0.0353666780838235,0.49199001483333465
75%,74.25,0.3197784532522307,0.7222233553101285
max,99.0,5.16982597503932,1.2805474018722371
