,iter,error_autovalor,error_n2_autovectores
count,10.0,10.0,10.0
mean,450.0,8.288568947523325,1.5727095418948829
std,302.7650354097492,5.921189464667501e-16,2.340555645717801e-16
min,0.0,8.288568947523324,1.572709541894883
25%,225.0,8.288568947523325,1.572709541894883
50%,450.0,8.288568947523325,1.572709541894883
75%,675.0,8.288568947523325,1.572709541894883
max,900.0,8.288568947523325,1.572709541894883
