umbral,flat_corr,av_corr,mean_corr
0.0,0.012547891477874303,0.47985496425699214,0.07605423149389119
1.0,0.023245642800198977,0.6085568857436743,0.32947445435062706
2.0,0.029436953513777824,0.6298352727758604,0.5857014289506568
3.0,0.05856651286001175,0.7547718101774132,0.7099398506950514
4.0,0.09607999639256251,0.8829301863665501,0.8416273332944856
5.0,0.1096294972056888,0.9427715740387838,0.9153701221762524
6.0,0.09752603704798915,0.9506214905358326,0.9432207395321432
7.0,0.06898753875310357,0.9263822614169775,0.9521427785223602
8.0,0.041518927086748016,0.856181806133342,0.9540333702387196
9.0,0.023370828390926714,0.7752106292828922,0.954463933078233
10.0,0.01349158125068974,0.6330824774628686,0.9545545778865515
11.0,0.005001605008259594,0.5500124162639565,0.9545869510323797
12.0,0.0005549151304816307,0.46186726411433265,0.9545934256615453
13.0,0,0,0.9545999002907108
14.0,0,0,0.9545999002907108
15.0,0,0,0.9545999002907108
16.0,0,0,0.9545999002907108
17.0,0,0,0.9545999002907108
18.0,0,0,0.9545999002907108
19.0,0,0,0.9545999002907108
20.0,0,0,0.9545999002907108
21.0,0,0,0.9545999002907108
