,iter,error_v1,error_v2
count,50.0,50.0,50.0
mean,49.0,0.0627386890442765,0.03482768569416592
std,29.154759474226502,0.13488431551005975,0.10595278718093872
min,0.0,1.7855343658530016e-05,6.407943420438485e-06
25%,24.5,0.0002369866643409,8.505722018095591e-05
50%,49.0,0.0031387630435297503,0.0011281074355483
75%,73.5,0.04206924523633377,0.015444527960731251
max,98.0,0.6403045942722463,0.6850704469370644
